name,salary,contractExpires,realWorldTeam
Dustin Pedroia,7857000,11/01/2021,BOS
Rusney Castillo,7857000,11/01/2020,BOS
David Ortiz,7857000,11/01/2014,BOS
Shane Victorino,7857000,11/01/2015,BOS
Yoenis Cespedes,7857000,11/01/2015,BOS
Mike Napoli,7857000,11/01/2015,BOS
Allen Craig,7857000,11/01/2017,BOS
Clay Buchholz,7857000,11/01/2015,BOS
Edward Mujica,7857000,11/01/2015,BOS
Koji Uehara,7857000,11/01/2014,BOS
Craig Breslow,7857000,11/01/2014,BOS
David Ross,7857000,11/01/2014,BOS
Burke Badenhop,7857000,11/01/2014,BOS
Jonathan Herrera,7857000,11/01/2014,BOS
Junichi Tazawa,7857000,11/01/2014,BOS
Daniel Nava,7857000,11/01/2014,BOS
Will Middlebrooks,7857000,11/01/2014,BOS
Joe Kelly,7857000,11/01/2014,BOS
Brandon Workman,7857000,11/01/2014,BOS
Xander Bogaerts,7857000,11/01/2014,BOS
Jemile Weeks,7857000,11/01/2014,BOS
Ryan Lavarnway,7857000,11/01/2014,BOS
Drake Britton,7857000,11/01/2014,BOS
Jackie Bradley,7857000,11/01/2014,BOS
Steven Wright,7857000,11/01/2014,BOS
