playerName,defaultSalary,contractExpires,realWorldTeam
Dustin Pedroia,7857000,11/01/2021,FFF
Rusney Castillo,7857000,11/01/2020,FFF
David Ortiz,7857000,11/01/2014,FFF
Shane Victorino,7857000,11/01/2015,FFF
Yoenis Cespedes,7857000,11/01/2015,FFF
Mike Napoli,7857000,11/01/2015,GGG
Allen Craig,7857000,11/01/2017,GGG
Clay Buchholz,7857000,11/01/2015,GGG
Edward Mujica,7857000,11/01/2015,GGG
Koji Uehara,7857000,11/01/2014,HHH
Craig Breslow,7857000,11/01/2014,HHH
David Ross,7857000,11/01/2014,HHH
Burke Badenhop,7857000,11/01/2014,HHH
Jonathan Herrera,7857000,11/01/2014,HHH
Junichi Tazawa,7857000,11/01/2014,HHH
Daniel Nava,7857000,11/01/2014,III
Will Middlebrooks,7857000,11/01/2014,III
Joe Kelly,7857000,11/01/2014,III
Brandon Workman,7857000,11/01/2014,III
Xander Bogaerts,7857000,11/01/2014,III
Jemile Weeks,7857000,11/01/2014,JJJ
Ryan Lavarnway,7857000,11/01/2014,JJJ
Drake Britton,7857000,11/01/2014,JJJ
Jackie Bradley,7857000,11/01/2014,JJJ
Steven Wright,7857000,11/01/2014,JJJ
